"","SYMBOL","GENENAME"
"2189","LY75-CD302","LY75-CD302 readthrough"
"2190","LY96","lymphocyte antigen 96"
"2191","LYG1","lysozyme g1"
"2192","LYG2","lysozyme g2"
"2193","LYPD6B","LY6/PLAUR domain containing 6B"
"2194","LYPLA1","lysophospholipase 1"
"2195","LYZL4","lysozyme like 4"
"2196","LZTS3","leucine zipper tumor suppressor family member 3"
"2197","M1AP","meiosis 1 associated protein"
"2198","MAB21L3","mab-21 like 3"
"2199","MAD1L1","mitotic arrest deficient 1 like 1"
"2200","MAD2L2","mitotic arrest deficient 2 like 2"
"2201","MADCAM1","mucosal vascular addressin cell adhesion molecule 1"
"2202","MAFG-AS1",NA
"2203","MAFK","MAF bZIP transcription factor K"
"2204","MAGEA1","MAGE family member A1"
"2205","MAGEA12","MAGE family member A12"
"2206","MAGEA2","MAGE family member A2"
"2207","MAGEA3","MAGE family member A3"
"2208","MAGEA6","MAGE family member A6"
"2209","MAGEA9B","MAGE family member A9B"
"2210","MAGEB3","MAGE family member B3"
"2211","MAGEC1","MAGE family member C1"
"2212","MAGED4","MAGE family member D4"
"2213","MAGI2","membrane associated guanylate kinase, WW and PDZ domain containing 2"
"2214","MAGI2-AS2","MAGI2 antisense RNA 2"
"2215","MAGIX","MAGI family member, X-linked"
"2216","MAGOH2",NA
"2217","MAML1","mastermind like transcriptional coactivator 1"
"2218","MAML2","mastermind like transcriptional coactivator 2"
"2219","MAN1C1","mannosidase alpha class 1C member 1"
"2220","MANEAL","mannosidase endo-alpha like"
"2221","MAP10","microtubule associated protein 10"
"2222","MAP1LC3C","microtubule associated protein 1 light chain 3 gamma"
"2223","MAP2","microtubule associated protein 2"
"2224","MAP2K4P1","mitogen-activated protein kinase kinase 4 pseudogene 1"
"2225","MAP3K15","mitogen-activated protein kinase kinase kinase 15"
"2226","MAP3K7CL","MAP3K7 C-terminal like"
"2227","MAPK4","mitogen-activated protein kinase 4"
"2228","MAPK8","mitogen-activated protein kinase 8"
"2229","MAPK9","mitogen-activated protein kinase 9"
"2230","MAPKAP1","MAPK associated protein 1"
"2231","MAPKAPK5","MAPK activated protein kinase 5"
"2232","MAPRE1","microtubule associated protein RP/EB family member 1"
"2233","MARCH11",NA
"2234","MARCKSL1","MARCKS like 1"
"2235","MARCO","macrophage receptor with collagenous structure"
"2236","MAS1L","MAS1 proto-oncogene like, G protein-coupled receptor"
"2237","MAZ","MYC associated zinc finger protein"
"2238","MBD3L2","methyl-CpG binding domain protein 3 like 2"
"2239","MBD3L3","methyl-CpG binding domain protein 3 like 3"
"2240","MBD3L4","methyl-CpG binding domain protein 3 like 4"
"2241","MBOAT4","membrane bound O-acyltransferase domain containing 4"
"2242","MCM9","minichromosome maintenance 9 homologous recombination repair factor"
"2243","MDGA2","MAM domain containing glycosylphosphatidylinositol anchor 2"
"2244","MDK","midkine"
"2245","MEAF6","MYST/Esa1 associated factor 6"
"2246","MED12L","mediator complex subunit 12L"
"2247","MED24","mediator complex subunit 24"
"2248","MED28","mediator complex subunit 28"
"2249","MEGF6","multiple EGF like domains 6"
"2250","MEIS3P1","Meis homeobox 3 pseudogene 1"
"2251","METRNL","meteorin like, glial cell differentiation regulator"
"2252","METTL21C","methyltransferase like 21C"
"2253","METTL21EP","methyltransferase like 21E, pseudogene"
"2254","MEX3D","mex-3 RNA binding family member D"
"2255","MFAP3L","microfibril associated protein 3 like"
"2256","MFAP5","microfibril associated protein 5"
"2257","MFHAS1","malignant fibrous histiocytoma amplified sequence 1"
"2258","MFI2-AS1",NA
"2259","MFRP","membrane frizzled-related protein"
"2260","MFSD12","major facilitator superfamily domain containing 12"
"2261","MGAT4A","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A"
"2262","MGAT4B","alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase B"
"2263","MGAT4C","MGAT4 family member C"
"2264","MGC16142",NA
"2265","MGC27345",NA
"2266","MGC32805","uncharacterized LOC153163"
"2267","MGC45922",NA
"2268","MGST2","microsomal glutathione S-transferase 2"
"2269","MICU3","mitochondrial calcium uptake family member 3"
"2270","MIMT1","MER1 repeat containing imprinted transcript 1"
"2271","MINOS1P1",NA
"2272","MIP","major intrinsic protein of lens fiber"
"2273","MIR101-1","microRNA 101-1"
"2274","MIR103A1","microRNA 103a-1"
"2275","MIR103B1","microRNA 103b-1"
"2276","MIR105-2","microRNA 105-2"
"2277","MIR106A","microRNA 106a"
"2278","MIR107","microRNA 107"
"2279","MIR10B","microRNA 10b"
"2280","MIR1179","microRNA 1179"
"2281","MIR1184-3","microRNA 1184-3"
"2282","MIR1200","microRNA 1200"
"2283","MIR1205","microRNA 1205"
"2284","MIR1206","microRNA 1206"
"2285","MIR1225","microRNA 1225"
"2286","MIR1231","microRNA 1231"
"2287","MIR1233-2","microRNA 1233-2"
"2288","MIR1237","microRNA 1237"
"2289","MIR124-3","microRNA 124-3"
"2290","MIR1243","microRNA 1243"
"2291","MIR1244-1","microRNA 1244-1"
"2292","MIR1246","microRNA 1246"
"2293","MIR1251","microRNA 1251"
"2294","MIR1252","microRNA 1252"
"2295","MIR1253","microRNA 1253"
"2296","MIR1262","microRNA 1262"
"2297","MIR1264","microRNA 1264"
"2298","MIR1265","microRNA 1265"
"2299","MIR1266","microRNA 1266"
"2300","MIR1270-1",NA
"2301","MIR1278","microRNA 1278"
"2302","MIR128-1","microRNA 128-1"
"2303","MIR128-2","microRNA 128-2"
"2304","MIR1283-2","microRNA 1283-2"
"2305","MIR1286","microRNA 1286"
"2306","MIR129-1","microRNA 129-1"
"2307","MIR129-2","microRNA 129-2"
"2308","MIR1295A","microRNA 1295a"
"2309","MIR1295B","microRNA 1295b"
"2310","MIR1296","microRNA 1296"
"2311","MIR1297","microRNA 1297"
"2312","MIR1305","microRNA 1305"
"2313","MIR1322","microRNA 1322"
"2314","MIR134","microRNA 134"
"2315","MIR135A2","microRNA 135a-2"
"2316","MIR1468","microRNA 1468"
"2317","MIR1471","microRNA 1471"
"2318","MIR149","microRNA 149"
"2319","MIR152","microRNA 152"
"2320","MIR153-2","microRNA 153-2"
"2321","MIR155HG","MIR155 host gene"
"2322","MIR181A1","microRNA 181a-1"
"2323","MIR181A1HG","MIR181A1 host gene"
"2324","MIR181A2","microRNA 181a-2"
"2325","MIR181B1","microRNA 181b-1"
"2326","MIR18B","microRNA 18b"
"2327","MIR190A","microRNA 190a"
"2328","MIR1911","microRNA 1911"
"2329","MIR1913","microRNA 1913"
"2330","MIR194-1","microRNA 194-1"
"2331","MIR1972-1","microRNA 1972-1"
"2332","MIR1973","microRNA 1973"
"2333","MIR199A1","microRNA 199a-1"
"2334","MIR200B","microRNA 200b"
"2335","MIR203",NA
"2336","MIR204","microRNA 204"
"2337","MIR2052","microRNA 2052"
"2338","MIR2053","microRNA 2053"
"2339","MIR210HG","MIR210 host gene"
"2340","MIR2113","microRNA 2113"
"2341","MIR212","microRNA 212"
"2342","MIR215","microRNA 215"
"2343","MIR217","microRNA 217"
"2344","MIR218-1","microRNA 218-1"
"2345","MIR219-2",NA
"2346","MIR221","microRNA 221"
"2347","MIR2355","microRNA 2355"
"2348","MIR2392","microRNA 2392"
"2349","MIR2467","microRNA 2467"
"2350","MIR2681","microRNA 2681"
"2351","MIR2964A",NA
"2352","MIR29A","microRNA 29a"
"2353","MIR29B1","microRNA 29b-1"
"2354","MIR300","microRNA 300"
"2355","MIR30B","microRNA 30b"
"2356","MIR30C2","microRNA 30c-2"
"2357","MIR30D","microRNA 30d"
"2358","MIR3117","microRNA 3117"
"2359","MIR3119-1","microRNA 3119-1"
"2360","MIR3119-2","microRNA 3119-2"
"2361","MIR3120","microRNA 3120"
"2362","MIR3123","microRNA 3123"
"2363","MIR3129","microRNA 3129"
"2364","MIR3136","microRNA 3136"
"2365","MIR3140","microRNA 3140"
"2366","MIR3151","microRNA 3151"
"2367","MIR3156-1","microRNA 3156-1"
"2368","MIR3156-3","microRNA 3156-3"
"2369","MIR3157","microRNA 3157"
"2370","MIR3158-1","microRNA 3158-1"
"2371","MIR3158-2","microRNA 3158-2"
"2372","MIR3160-1","microRNA 3160-1"
"2373","MIR3167","microRNA 3167"
"2374","MIR3169","microRNA 3169"
"2375","MIR3170","microRNA 3170"
"2376","MIR3173","microRNA 3173"
"2377","MIR3176","microRNA 3176"
"2378","MIR3179-2","microRNA 3179-2"
"2379","MIR3179-3","microRNA 3179-3"
"2380","MIR3180-3","microRNA 3180-3"
"2381","MIR3187","microRNA 3187"
"2382","MIR3202-2","microRNA 3202-2"
"2383","MIR320B2","microRNA 320b-2"
"2384","MIR320D2","microRNA 320d-2"
"2385","MIR328","microRNA 328"
"2386","MIR329-1","microRNA 329-1"
"2387","MIR329-2","microRNA 329-2"
"2388","MIR331","microRNA 331"
"2389","MIR335","microRNA 335"
"2390","MIR340","microRNA 340"
"2391","MIR3545",NA
"2392","MIR3606","microRNA 3606"
"2393","MIR3607",NA
"2394","MIR3612","microRNA 3612"
"2395","MIR3613","microRNA 3613"
"2396","MIR3621","microRNA 3621"
"2397","MIR3646","microRNA 3646"
"2398","MIR3648",NA
"2399","MIR3659","microRNA 3659"
"2400","MIR3662","microRNA 3662"
"2401","MIR3664","microRNA 3664"
"2402","MIR3665","microRNA 3665"
"2403","MIR3671","microRNA 3671"
"2404","MIR3675","microRNA 3675"
"2405","MIR3682","microRNA 3682"
"2406","MIR3685","microRNA 3685"
"2407","MIR3687",NA
"2408","MIR3688-1","microRNA 3688-1"
"2409","MIR3688-2","microRNA 3688-2"
"2410","MIR369","microRNA 369"
"2411","MIR3690","microRNA 3690"
"2412","MIR3692","microRNA 3692"
"2413","MIR374B","microRNA 374b"
"2414","MIR378D1","microRNA 378d-1"
"2415","MIR378F","microRNA 378f"
"2416","MIR380","microRNA 380"
"2417","MIR383","microRNA 383"
"2418","MIR3913-1","microRNA 3913-1"
"2419","MIR3913-2","microRNA 3913-2"
"2420","MIR3914-1","microRNA 3914-1"
"2421","MIR3914-2","microRNA 3914-2"
"2422","MIR3916","microRNA 3916"
"2423","MIR3920","microRNA 3920"
"2424","MIR3921","microRNA 3921"
"2425","MIR3922","microRNA 3922"
"2426","MIR3925","microRNA 3925"
"2427","MIR3926-1","microRNA 3926-1"
"2428","MIR3926-2","microRNA 3926-2"
"2429","MIR3936","microRNA 3936"
"2430","MIR3943","microRNA 3943"
"2431","MIR3960","microRNA 3960"
"2432","MIR3973","microRNA 3973"
"2433","MIR3974","microRNA 3974"
"2434","MIR3975","microRNA 3975"
"2435","MIR3976","microRNA 3976"
"2436","MIR3977","microRNA 3977"
"2437","MIR3978","microRNA 3978"
"2438","MIR409","microRNA 409"
"2439","MIR410","microRNA 410"
"2440","MIR412","microRNA 412"
"2441","MIR421","microRNA 421"
"2442","MIR4255","microRNA 4255"
"2443","MIR4256","microRNA 4256"
"2444","MIR4262","microRNA 4262"
"2445","MIR4263","microRNA 4263"
"2446","MIR4264","microRNA 4264"
"2447","MIR4266","microRNA 4266"
"2448","MIR4267","microRNA 4267"
"2449","MIR4268","microRNA 4268"
"2450","MIR4275","microRNA 4275"
"2451","MIR4281","microRNA 4281"
"2452","MIR4283-1","microRNA 4283-1"
"2453","MIR4288","microRNA 4288"
"2454","MIR4291","microRNA 4291"
"2455","MIR4298","microRNA 4298"
"2456","MIR4300","microRNA 4300"
"2457","MIR4301","microRNA 4301"
"2458","MIR4303","microRNA 4303"
"2459","MIR4305","microRNA 4305"
"2460","MIR4306","microRNA 4306"
"2461","MIR4312","microRNA 4312"
"2462","MIR4319","microRNA 4319"
"2463","MIR4320","microRNA 4320"
"2464","MIR4325","microRNA 4325"
"2465","MIR4423","microRNA 4423"
"2466","MIR4427","microRNA 4427"
"2467","MIR4434","microRNA 4434"
"2468","MIR4436B1","microRNA 4436b-1"
"2469","MIR4437","microRNA 4437"
"2470","MIR4439","microRNA 4439"
"2471","MIR4443","microRNA 4443"
"2472","MIR4444-1","microRNA 4444-1"
"2473","MIR4446","microRNA 4446"
"2474","MIR4460","microRNA 4460"
"2475","MIR4461",NA
"2476","MIR4464","microRNA 4464"
"2477","MIR4465","microRNA 4465"
"2478","MIR4467","microRNA 4467"
"2479","MIR4472-2","microRNA 4472-2"
"2480","MIR4473","microRNA 4473"
"2481","MIR4474","microRNA 4474"
"2482","MIR4476","microRNA 4476"
"2483","MIR4478","microRNA 4478"
"2484","MIR4479","microRNA 4479"
"2485","MIR448","microRNA 448"
"2486","MIR4480","microRNA 4480"
"2487","MIR4483","microRNA 4483"
"2488","MIR4486","microRNA 4486"
"2489","MIR4488","microRNA 4488"
"2490","MIR4490","microRNA 4490"
"2491","MIR4491","microRNA 4491"
"2492","MIR4493","microRNA 4493"
"2493","MIR449A","microRNA 449a"
"2494","MIR449B","microRNA 449b"
"2495","MIR4508","microRNA 4508"
"2496","MIR4509-1","microRNA 4509-1"
"2497","MIR4511","microRNA 4511"
"2498","MIR4514","microRNA 4514"
"2499","MIR4516","microRNA 4516"
"2500","MIR452","microRNA 452"
"2501","MIR4529","microRNA 4529"
"2502","MIR4634","microRNA 4634"
"2503","MIR4637","microRNA 4637"
"2504","MIR4639","microRNA 4639"
"2505","MIR4643","microRNA 4643"
"2506","MIR4646","microRNA 4646"
"2507","MIR4648","microRNA 4648"
"2508","MIR4650-1","microRNA 4650-1"
"2509","MIR4652","microRNA 4652"
"2510","MIR4655","microRNA 4655"
"2511","MIR4656","microRNA 4656"
"2512","MIR4663","microRNA 4663"
"2513","MIR4666A","microRNA 4666a"
"2514","MIR4668","microRNA 4668"
"2515","MIR4671","microRNA 4671"
"2516","MIR4673","microRNA 4673"
"2517","MIR4677","microRNA 4677"
"2518","MIR4679-1","microRNA 4679-1"
"2519","MIR4692","microRNA 4692"
"2520","MIR4693","microRNA 4693"
"2521","MIR4699","microRNA 4699"
"2522","MIR4701","microRNA 4701"
"2523","MIR4705","microRNA 4705"
"2524","MIR4708","microRNA 4708"
"2525","MIR4715","microRNA 4715"
"2526","MIR4716","microRNA 4716"
"2527","MIR4718","microRNA 4718"
"2528","MIR4720","microRNA 4720"
"2529","MIR4730","microRNA 4730"
"2530","MIR4731","microRNA 4731"
"2531","MIR4735","microRNA 4735"
"2532","MIR4742","microRNA 4742"
"2533","MIR4744","microRNA 4744"
"2534","MIR4745","microRNA 4745"
"2535","MIR4748","microRNA 4748"
"2536","MIR4750","microRNA 4750"
"2537","MIR4753","microRNA 4753"
"2538","MIR4755","microRNA 4755"
"2539","MIR4770","microRNA 4770"
"2540","MIR4773-1","microRNA 4773-1"
"2541","MIR4773-2","microRNA 4773-2"
"2542","MIR4774","microRNA 4774"
"2543","MIR4778","microRNA 4778"
"2544","MIR4779","microRNA 4779"
"2545","MIR4780","microRNA 4780"
"2546","MIR4786","microRNA 4786"
"2547","MIR4789","microRNA 4789"
"2548","MIR4794","microRNA 4794"
"2549","MIR4797","microRNA 4797"
"2550","MIR4799","microRNA 4799"
"2551","MIR4801","microRNA 4801"
"2552","MIR4802","microRNA 4802"
"2553","MIR486",NA
"2554","MIR491","microRNA 491"
"2555","MIR4999","microRNA 4999"
"2556","MIR5000","microRNA 5000"
"2557","MIR5007","microRNA 5007"
"2558","MIR504","microRNA 504"
"2559","MIR508","microRNA 508"
"2560","MIR5092","microRNA 5092"
"2561","MIR5093","microRNA 5093"
"2562","MIR5095",NA
"2563","MIR510","microRNA 510"
"2564","MIR511-2",NA
"2565","MIR512-2","microRNA 512-2"
"2566","MIR514A1","microRNA 514a-1"
"2567","MIR514B","microRNA 514b"
"2568","MIR515-1","microRNA 515-1"
"2569","MIR517A","microRNA 517a"
"2570","MIR5187","microRNA 5187"
"2571","MIR518B","microRNA 518b"
"2572","MIR5190","microRNA 5190"
"2573","MIR5191","microRNA 5191"
"2574","MIR5197","microRNA 5197"
"2575","MIR520F","microRNA 520f"
"2576","MIR520G","microRNA 520g"
"2577","MIR545","microRNA 545"
"2578","MIR548A1","microRNA 548a-1"
"2579","MIR548A2","microRNA 548a-2"
"2580","MIR548A3","microRNA 548a-3"
"2581","MIR548AD","microRNA 548ad"
"2582","MIR548AJ2","microRNA 548aj-2"
"2583","MIR548AL","microRNA 548al"
"2584","MIR548AN","microRNA 548an"
"2585","MIR548AQ","microRNA 548aq"
"2586","MIR548AR","microRNA 548ar"
"2587","MIR548AS","microRNA 548as"
"2588","MIR548AU","microRNA 548au"
"2589","MIR548C","microRNA 548c"
"2590","MIR548F1","microRNA 548f-1"
"2591","MIR548F2","microRNA 548f-2"
"2592","MIR548F5","microRNA 548f-5"
"2593","MIR548G","microRNA 548g"
"2594","MIR548H2","microRNA 548h-2"
"2595","MIR548H3","microRNA 548h-3"
"2596","MIR548I4","microRNA 548i-4"
"2597","MIR548K","microRNA 548k"
"2598","MIR548N","microRNA 548n"
"2599","MIR548O2","microRNA 548o-2"
"2600","MIR548Q","microRNA 548q"
"2601","MIR548Y","microRNA 548y"
"2602","MIR549",NA
"2603","MIR550A2","microRNA 550a-2"
"2604","MIR550A3","microRNA 550a-3"
"2605","MIR553","microRNA 553"
"2606","MIR557","microRNA 557"
"2607","MIR5582","microRNA 5582"
"2608","MIR5583-1","microRNA 5583-1"
"2609","MIR5583-2","microRNA 5583-2"
"2610","MIR5584","microRNA 5584"
"2611","MIR5586","microRNA 5586"
"2612","MIR559","microRNA 559"
"2613","MIR561","microRNA 561"
"2614","MIR563","microRNA 563"
"2615","MIR5681B","microRNA 5681b"
"2616","MIR5687","microRNA 5687"
"2617","MIR5688","microRNA 5688"
"2618","MIR569","microRNA 569"
"2619","MIR5692B","microRNA 5692b"
"2620","MIR5695","microRNA 5695"
"2621","MIR5699","microRNA 5699"
"2622","MIR5702","microRNA 5702"
"2623","MIR5704","microRNA 5704"
"2624","MIR5705","microRNA 5705"
"2625","MIR5707","microRNA 5707"
"2626","MIR573","microRNA 573"
"2627","MIR577","microRNA 577"
"2628","MIR578","microRNA 578"
"2629","MIR580","microRNA 580"
"2630","MIR581","microRNA 581"
"2631","MIR583","microRNA 583"
"2632","MIR585","microRNA 585"
"2633","MIR599","microRNA 599"
"2634","MIR603","microRNA 603"
"2635","MIR605","microRNA 605"
"2636","MIR608","microRNA 608"
"2637","MIR610","microRNA 610"
"2638","MIR611","microRNA 611"
"2639","MIR613","microRNA 613"
"2640","MIR614","microRNA 614"
"2641","MIR617","microRNA 617"
"2642","MIR618","microRNA 618"
"2643","MIR620","microRNA 620"
"2644","MIR643","microRNA 643"
"2645","MIR644A","microRNA 644a"
"2646","MIR650","microRNA 650"
"2647","MIR651","microRNA 651"
"2648","MIR653","microRNA 653"
"2649","MIR660","microRNA 660"
"2650","MIR663A","microRNA 663a"
"2651","MIR663B","microRNA 663b"
"2652","MIR670","microRNA 670"
"2653","MIR7-1","microRNA 7-1"
"2654","MIR7-2","microRNA 7-2"
"2655","MIR759","microRNA 759"
"2656","MIR767","microRNA 767"
"2657","MIR874","microRNA 874"
"2658","MIR875","microRNA 875"
"2659","MIR876","microRNA 876"
"2660","MIR885","microRNA 885"
"2661","MIR888","microRNA 888"
"2662","MIR890","microRNA 890"
"2663","MIR891A","microRNA 891a"
"2664","MIR891B","microRNA 891b"
"2665","MIR892A","microRNA 892a"
"2666","MIR920","microRNA 920"
"2667","MIR92A2","microRNA 92a-2"
"2668","MIR93","microRNA 93"
"2669","MIR934","microRNA 934"
"2670","MIR936","microRNA 936"
"2671","MIR938","microRNA 938"
"2672","MIR942","microRNA 942"
"2673","MIR98","microRNA 98"
"2674","MIRLET7A2","microRNA let-7a-2"
"2675","MIRLET7D","microRNA let-7d"
"2676","MIRLET7G","microRNA let-7g"
"2677","MKI67","marker of proliferation Ki-67"
"2678","MKRN9P","makorin ring finger protein 9, pseudogene"
"2679","MLANA","melan-A"
"2680","MLIP-IT1","MLIP intronic transcript 1"
"2681","MLXIPL","MLX interacting protein like"
"2682","MMD2","monocyte to macrophage differentiation associated 2"
"2683","MMD2","Miyoshi muscular dystrophy 2"
"2684","MMP1","matrix metallopeptidase 1"
"2685","MMP10","matrix metallopeptidase 10"
"2686","MMP12","matrix metallopeptidase 12"
"2687","MMP17","matrix metallopeptidase 17"
"2688","MMP20","matrix metallopeptidase 20"
"2689","MMP23A","matrix metallopeptidase 23A (pseudogene)"
"2690","MMP24","matrix metallopeptidase 24"
"2691","MMP25","matrix metallopeptidase 25"
"2692","MMP26","matrix metallopeptidase 26"
"2693","MMP27","matrix metallopeptidase 27"
"2694","MMP3","matrix metallopeptidase 3"
"2695","MMP8","matrix metallopeptidase 8"
"2696","MN1","MN1 proto-oncogene, transcriptional regulator"
"2697","MNDA","myeloid cell nuclear differentiation antigen"
"2698","MOGAT1","monoacylglycerol O-acyltransferase 1"
"2699","MORC1","MORC family CW-type zinc finger 1"
"2700","MORN4","MORN repeat containing 4"
"2701","MOV10L1","Mov10 like RISC complex RNA helicase 1"
"2702","MPHOSPH9","M-phase phosphoprotein 9"
"2703","MPP4","membrane palmitoylated protein 4"
"2704","MPPED1","metallophosphoesterase domain containing 1"
"2705","MPPED2","metallophosphoesterase domain containing 2"
"2706","MPV17L","MPV17 mitochondrial inner membrane protein like"
"2707","MPZ","myelin protein zero"
"2708","MR1","major histocompatibility complex, class I-related"
"2709","MRC1","mannose receptor C-type 1"
"2710","MREG","melanoregulin"
"2711","MRGBP","MRG domain binding protein"
"2712","MRGPRE","MAS related GPR family member E"
"2713","MRGPRX2","MAS related GPR family member X2"
"2714","MROH1","maestro heat like repeat family member 1"
"2715","MROH2B","maestro heat like repeat family member 2B"
"2716","MROH7","maestro heat like repeat family member 7"
"2717","MROH9","maestro heat like repeat family member 9"
"2718","MRPL23","mitochondrial ribosomal protein L23"
"2719","MRPL42P5","mitochondrial ribosomal protein L42 pseudogene 5"
"2720","MRPL45","mitochondrial ribosomal protein L45"
"2721","MRPS10","mitochondrial ribosomal protein S10"
"2722","MRPS28","mitochondrial ribosomal protein S28"
"2723","MRPS34","mitochondrial ribosomal protein S34"
"2724","MS4A1","membrane spanning 4-domains A1"
"2725","MS4A10","membrane spanning 4-domains A10"
"2726","MS4A14","membrane spanning 4-domains A14"
"2727","MS4A3","membrane spanning 4-domains A3"
"2728","MS4A4A","membrane spanning 4-domains A4A"
"2729","MSGN1","mesogenin 1"
"2730","MSI1","musashi RNA binding protein 1"
"2731","MSL1","MSL complex subunit 1"
"2732","MSTN","myostatin"
"2733","MSTO1","misato mitochondrial distribution and morphology regulator 1"
"2734","MSX2P1","msh homeobox 2 pseudogene 1"
"2735","MT1IP","metallothionein 1I, pseudogene"
"2736","MTA3","metastasis associated 1 family member 3"
"2737","MTAP","methylthioadenosine phosphorylase"
"2738","MTFR1","mitochondrial fission regulator 1"
"2739","MTMR1","myotubularin related protein 1"
"2740","MTOR-AS1","MTOR antisense RNA 1"
"2741","MTRNR2L10","MT-RNR2 like 10"
"2742","MTRNR2L3","MT-RNR2 like 3"
"2743","MTRNR2L5","MT-RNR2 like 5"
"2744","MTRNR2L6","MT-RNR2 like 6"
"2745","MTUS2","microtubule associated scaffold protein 2"
"2746","MUC13","mucin 13, cell surface associated"
"2747","MUC16","mucin 16, cell surface associated"
"2748","MUCL1","mucin like 1"
"2749","MUM1L1",NA
"2750","MURC",NA
"2751","MUSK","muscle associated receptor tyrosine kinase"
"2752","MVB12B","multivesicular body subunit 12B"
"2753","MX2","MX dynamin like GTPase 2"
"2754","MXD4","MAX dimerization protein 4"
"2755","MYADML","myeloid associated differentiation marker like (pseudogene)"
"2756","MYBPC1","myosin binding protein C, slow type"
"2757","MYBPC3","myosin binding protein C, cardiac"
"2758","MYCBP2-AS1","MYCBP2 antisense RNA 1"
"2759","MYCNOS","MYCN opposite strand"
"2760","MYCT1","MYC target 1"
"2761","MYEF2","myelin expression factor 2"
"2762","MYH1","myosin heavy chain 1"
"2763","MYH14","myosin heavy chain 14"
"2764","MYH15","myosin heavy chain 15"
"2765","MYH4","myosin heavy chain 4"
"2766","MYL1","myosin light chain 1"
"2767","MYNN","myoneurin"
"2768","MYO16-AS1","MYO16 antisense RNA 1"
"2769","MYOCD","myocardin"
"2770","MYOT","myotilin"
"2771","MYOZ2","myozenin 2"
"2772","MYPN","myopalladin"
"2773","MYRIP","myosin VIIA and Rab interacting protein"
"2774","N4BP1","NEDD4 binding protein 1"
"2775","N4BP3","NEDD4 binding protein 3"
"2776","NAA11","N(alpha)-acetyltransferase 11, NatA catalytic subunit"
"2777","NAALADL2-AS3","NAALADL2 antisense RNA 3"
"2778","NACC2","NACC family member 2"
"2779","NAIP","NLR family apoptosis inhibitory protein"
"2780","NALCN-AS1","NALCN antisense RNA 1"
"2781","NANOG","Nanog homeobox"
"2782","NANOS1","nanos C2HC-type zinc finger 1"
"2783","NAT16","N-acetyltransferase 16 (putative)"
"2784","NAT2","N-acetyltransferase 2"
"2785","NAT8L","N-acetyltransferase 8 like"
"2786","NBEAP1","neurobeachin pseudogene 1"
"2787","NBPF15","NBPF member 15"
"2788","NBPF22P","NBPF member 22, pseudogene"
"2789","NBPF4","NBPF member 4"
"2790","NBPF7","NBPF member 7"
"2791","NCAM2","neural cell adhesion molecule 2"
"2792","NCF1","neutrophil cytosolic factor 1"
"2793","NCF1C","neutrophil cytosolic factor 1C pseudogene"
"2794","NCK2","NCK adaptor protein 2"
"2795","NCKAP1L","NCK associated protein 1 like"
"2796","NCKAP5","NCK associated protein 5"
"2797","NCOR1P1","nuclear receptor corepressor 1 pseudogene 1"
"2798","NCRNA00185",NA
"2799","NCS1","neuronal calcium sensor 1"
"2800","NDFIP2","Nedd4 family interacting protein 2"
"2801","NDP","norrin cystine knot growth factor NDP"
"2802","NDRG4","NDRG family member 4"
"2803","NDST2","N-deacetylase and N-sulfotransferase 2"
"2804","NDST3","N-deacetylase and N-sulfotransferase 3"
"2805","NDST4","N-deacetylase and N-sulfotransferase 4"
"2806","NEBL","nebulette"
"2807","NECAB1","N-terminal EF-hand calcium binding protein 1"
"2808","NECAB2","N-terminal EF-hand calcium binding protein 2"
"2809","NEFH","neurofilament heavy"
"2810","NEGR1-IT1","NEGR1 intronic transcript 1"
"2811","NEK3","NIMA related kinase 3"
"2812","NEK6","NIMA related kinase 6"
"2813","NELFCD","negative elongation factor complex member C/D"
"2814","NEO1","neogenin 1"
"2815","NETO1","neuropilin and tolloid like 1"
"2816","NEURL1B","neuralized E3 ubiquitin protein ligase 1B"
"2817","NEUROD1","neuronal differentiation 1"
"2818","NEUROD2","neuronal differentiation 2"
"2819","NEUROD6","neuronal differentiation 6"
"2820","NFATC1","nuclear factor of activated T cells 1"
"2821","NFATC2","nuclear factor of activated T cells 2"
"2822","NGF","nerve growth factor"
"2823","NHEG1","neuroblastoma highly expressed 1"
"2824","NID1","nidogen 1"
"2825","NID2","nidogen 2"
"2826","NIM1",NA
"2827","NINL","ninein like"
"2828","NKAIN1","sodium/potassium transporting ATPase interacting 1"
"2829","NKAIN2","sodium/potassium transporting ATPase interacting 2"
"2830","NKAIN3","sodium/potassium transporting ATPase interacting 3"
"2831","NKAIN4","sodium/potassium transporting ATPase interacting 4"
"2832","NKD2","NKD inhibitor of WNT signaling pathway 2"
"2833","NKIRAS2","NFKB inhibitor interacting Ras like 2"
"2834","NKX6-2","NK6 homeobox 2"
"2835","NLGN1","neuroligin 1"
"2836","NLGN2","neuroligin 2"
"2837","NLGN4X","neuroligin 4 X-linked"
"2838","NLGN4Y","neuroligin 4 Y-linked"
"2839","NLGN4Y-AS1","NLGN4Y antisense RNA 1"
"2840","NLRP11","NLR family pyrin domain containing 11"
"2841","NLRP3","NLR family pyrin domain containing 3"
"2842","NLRP4","NLR family pyrin domain containing 4"
"2843","NMNAT3","nicotinamide nucleotide adenylyltransferase 3"
